City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
197,Bengkulu,ID,2022-08-01 00:06:16,-3.8004,102.2655,75.56,86,79,4.09,Grage Hotel Bengkulu
198,San Quintin,MX,2022-08-01 00:08:50,30.4833,-115.95,75.36,62,23,10.83,Don Eddie's / Hotel - Restaurant
199,Bud,US,2022-08-01 00:10:30,39.447,-86.1758,80.91,67,7,1.23,Ted McQuinn Trust
200,Atambua,ID,2022-08-01 00:10:30,-9.1061,124.8925,76.08,74,51,2.93,Kost Alfa Flat
201,Khandyga,RU,2022-08-01 00:10:31,62.6667,135.6,78.94,51,55,3.58,Apel'sin
202,Labuhan,ID,2022-08-01 00:10:31,-6.8844,112.2051,76.28,82,94,5.39,DoubleFAG
208,Waddan,LY,2022-08-01 00:10:34,29.1614,16.139,80.19,42,0,4.34,محل الشريف محمد العايب
209,San Jose De Guanipa,VE,2022-08-01 00:10:35,8.8872,-64.1651,76.15,82,95,11.34,HOTEL KARIÑA GUANIPA
213,Pacific Grove,US,2022-08-01 00:08:29,36.6177,-121.9166,81.55,79,0,11.5,Lovers Point Inn
215,Padang,ID,2022-08-01 00:10:37,-0.9492,100.3543,75.25,85,100,3.78,Mercure Padang
217,San Antero,CO,2022-08-01 00:10:38,9.3741,-75.7589,80.42,86,100,7.27,Villamarina Inn chale
223,Kudat,MY,2022-08-01 00:10:41,6.8837,116.8477,76.57,90,100,4.92,Dream Garden Hotel
225,Cam Ranh,VN,2022-08-01 00:10:42,11.9214,109.1591,78.76,83,20,2.3,OYO 598 Peony Hotel
229,Bethel,US,2022-08-01 00:11:44,41.3712,-73.414,79.65,64,88,6.15,Courtyard by Marriott Danbury
233,Le Vauclin,MQ,2022-08-01 00:10:30,14.5452,-60.8388,82.45,83,100,14.97,Hôtel Cap Macabou
235,Jalu,LY,2022-08-01 00:11:47,29.0331,21.5482,81.36,57,0,16.53,صاحبة الفخامة
237,Half Moon Bay,US,2022-08-01 00:11:48,37.4636,-122.4286,80.06,77,75,18.41,"The Ritz-Carlton, Half Moon Bay"
239,Bathsheba,BB,2022-08-01 00:11:49,13.2167,-59.5167,82.06,90,100,18.9,Atlantis Hotel
241,Ayotzintepec,MX,2022-08-01 00:11:50,17.6667,-96.1333,77.76,96,55,2.57,"Hotel ""Punta del Cerro"""
245,Hailun,CN,2022-08-01 00:11:52,47.45,126.9333,79.11,80,69,7.47,Wanhao Hotel
247,Mao,ES,2022-08-01 00:11:53,39.8885,4.2658,77.56,53,0,6.91,ARTIEM Capri
250,Mana,GF,2022-08-01 00:08:55,5.6592,-53.7767,78.1,85,44,5.95,LE SAMANA
263,Hobyo,SO,2022-08-01 00:12:00,5.3505,48.5268,75.13,85,0,23.35,Iftin hotel hobyo
275,Oranjestad,AW,2022-08-01 00:12:06,12.524,-70.027,81.09,87,27,25.72,Divi Village Golf & Beach Resort
279,Sola,VU,2022-08-01 00:13:08,-13.8833,167.55,79.84,78,56,18.25,Leumerus Bungalows
284,Alice Town,BS,2022-08-01 00:13:11,25.7167,-79.3,83.73,78,73,18.12,Bimini Big Game Club Resort & Marina
291,Hambantota,LK,2022-08-01 00:13:15,6.1241,81.1185,78.35,86,100,16.58,Bungalow 63
292,Sao Felix Do Xingu,BR,2022-08-01 00:13:15,-6.6447,-51.995,76.15,67,41,1.3,Rio Xingu Camping
294,Crato,BR,2022-08-01 00:13:16,-7.2342,-39.4094,75.02,62,80,4.79,Flats Grangeiro
296,Tukrah,LY,2022-08-01 00:09:28,32.5341,20.5791,78.21,79,0,4.47,Lagrota restaurant
299,Khartoum,SD,2022-08-01 00:11:59,15.5518,32.5324,82.53,60,98,15.43,Hotel China
307,Sao Filipe,CV,2022-08-01 00:10:08,14.8961,-24.4956,75.87,75,38,6.08,Hotel Xaguate
309,Tuy Hoa,VN,2022-08-01 00:13:24,13.0833,109.3,78.6,87,100,4.41,CenDeluxe Hotel Tuy Hoa
311,Vanimo,PG,2022-08-01 00:11:24,-2.6741,141.3028,82.99,73,99,6.76,Vahmoneh Lodge Vanimo
312,Cayenne,GF,2022-08-01 00:13:25,4.9333,-52.3333,82.09,1,64,1.99,Hôtel Le Dronmi
315,Manicore,BR,2022-08-01 00:13:26,-5.8092,-61.3003,78.76,65,73,2.98,Hotel Durval
322,Bonthe,SL,2022-08-01 00:14:30,7.5264,-12.505,76.21,83,100,9.84,Bonthe Holiday Village
326,Manavgat,TR,2022-08-01 00:14:32,36.7867,31.4431,79.48,70,0,3.76,Lake & River Side Hotel & Spa
328,Raffadali,IT,2022-08-01 00:14:32,37.4036,13.5331,75.4,71,0,4.45,Sopra Isola
330,Dzilam Gonzalez,MX,2022-08-01 00:14:33,21.2833,-88.9333,84.9,70,78,9.6,posadas
332,Haicheng,CN,2022-08-01 00:14:34,40.8516,122.7475,79.93,85,48,2.89,Haicheng Grand Hotel
333,Biltine,TD,2022-08-01 00:14:35,14.5333,20.9167,80.08,66,99,3.36,Hôtel Trois Étoiles de Biltine
334,Griffith,US,2022-08-01 00:14:35,41.5284,-87.4237,83.25,60,0,9.22,Apartment above Depot Bar
340,Balabac,PH,2022-08-01 00:14:38,7.9868,117.0645,78.67,85,100,9.4,Batalla’s Lodging House
342,Ingham,US,2022-08-01 00:14:39,42.6,-84.3833,80.55,58,0,0.0,Sunset Mobile Home Park
347,Timizart,DZ,2022-08-01 00:14:41,36.8,4.2667,76.53,63,0,4.61,yefssah restaurant
350,Samarai,PG,2022-08-01 00:14:43,-10.6167,150.6667,80.78,80,61,11.45,Nuli Sapi
351,Moussoro,TD,2022-08-01 00:14:43,13.6408,16.4901,81.99,57,100,6.62,Hôtel Salama
353,Coos Bay,US,2022-08-01 00:11:23,43.3665,-124.2179,76.32,91,0,8.05,Best Western Holiday Hotel
357,Shiyan,CN,2022-08-01 00:14:46,32.6475,110.7781,80.37,68,0,2.06,Fenghuang Garden Holiday Hotel
361,Weligama,LK,2022-08-01 00:14:47,5.9667,80.4167,76.96,90,99,10.78,Weligama Bay Resort
362,Itupiranga,BR,2022-08-01 00:14:48,-5.1347,-49.3267,79.12,90,94,1.57,Hotel Panorama
366,Karpathos,GR,2022-08-01 00:14:50,35.507,27.2132,75.16,83,1,28.77,Alex
369,Hamilton,US,2022-08-01 00:14:58,39.1834,-84.5333,77.52,78,0,6.91,Six Acres Bed & Breakfast
371,Guerrero Negro,MX,2022-08-01 00:15:52,27.9769,-114.0611,81.93,49,26,13.18,"Casa Laguna, Bed & Breakfast"
372,Pochutla,MX,2022-08-01 00:15:52,15.7432,-96.4661,84.81,72,52,4.79,Hotel Posada San Jose
375,Barcelos,PT,2022-08-01 00:15:53,41.5388,-8.6151,80.92,62,0,3.09,Hotel Restaurante Bagoeira
387,Galle,LK,2022-08-01 00:16:00,6.0367,80.217,78.15,87,100,12.39,Amangalla
390,Mayo,US,2022-08-01 00:16:01,38.8876,-76.5119,75.15,90,100,1.99,Resorts Resource Group International
394,High Rock,BS,2022-08-01 00:16:03,26.6208,-78.2833,84.22,70,80,12.28,Hideaway Bahamas Beach Club
396,Pandan,PH,2022-08-01 00:16:04,14.0453,124.1694,83.25,76,100,5.57,Bonifacio Lodge
397,Road Town,VG,2022-08-01 00:16:04,18.4167,-64.6167,82.49,89,40,9.22,"ZINGARA 76ft Catamaran, full crew-all included"
402,Itarema,BR,2022-08-01 00:16:07,-2.9248,-39.9167,78.71,82,5,14.12,"Sea Lounge! Bar, Club & Restaurant"
404,Cabedelo,BR,2022-08-01 00:11:35,-6.9811,-34.8339,75.81,84,98,12.97,Pousada Camboinha
405,Natal,BR,2022-08-01 00:12:31,-5.795,-35.2094,75.49,86,70,11.36,Villa Park Hotel | Natal
408,Miri,MY,2022-08-01 00:16:09,4.4148,114.0089,77.14,88,20,9.22,"Mega Hotel, Miri"
409,Muli,MV,2022-08-01 00:16:10,2.9167,73.5667,80.98,74,100,25.75,Medhufushi Island Resort
412,Carutapera,BR,2022-08-01 00:16:11,-1.195,-46.02,75.72,94,77,5.91,Lidera
420,San Matias,BO,2022-08-01 00:17:16,-16.3667,-58.4,77.65,30,0,1.54,"HOTEL ""SAN JOSE"""
428,San Policarpo,PH,2022-08-01 00:15:25,12.1791,125.5072,82.83,79,100,7.92,Agapita M. Nicart
429,Pio Ix,BR,2022-08-01 00:17:20,-6.8375,-40.5792,76.1,62,94,5.26,Hotel Central
