City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Khatanga,RU,2022-07-28 23:42:17,71.9667,102.5,63.61,65,66,5.03
68,Vanavara,RU,2022-07-28 23:42:18,60.34,102.2797,65.23,93,86,5.06
69,Nabire,ID,2022-07-28 23:42:18,-3.3667,135.4833,79.2,88,77,2.91
70,Barabai,ID,2022-07-28 23:42:19,-2.5833,115.3833,76.15,90,61,0.78
71,Orikum,AL,2022-07-28 23:42:20,40.3253,19.4714,79.32,59,0,6.02
72,Arraial Do Cabo,BR,2022-07-28 23:42:20,-22.9661,-42.0278,73.36,68,0,11.5
73,Rikitea,PF,2022-07-28 23:42:21,-23.1203,-134.9692,73.15,75,57,21.5
74,Hualmay,PE,2022-07-28 23:42:21,-11.0964,-77.6139,61.84,83,23,10.65
75,Cabo San Lucas,MX,2022-07-28 23:42:22,22.8909,-109.9124,92.61,63,25,5.01
76,Palmer,US,2022-07-28 23:42:22,42.1584,-72.3287,81.01,66,73,1.01
77,Bantou,CN,2022-07-28 23:42:23,26.2151,117.4893,81.27,79,79,0.69
78,Yulara,AU,2022-07-28 23:37:48,-25.2406,130.9889,53.91,31,79,12.01
79,Clyde River,CA,2022-07-28 23:42:23,70.4692,-68.5914,37.63,100,100,8.05
80,Yellowknife,CA,2022-07-28 23:42:13,62.456,-114.3525,68.52,52,75,11.5
81,La Rioja,ES,2022-07-28 23:42:24,42.25,-2.5,62.38,74,57,3.89
82,Upernavik,GL,2022-07-28 23:42:25,72.7868,-56.1549,43.2,71,100,6.26
83,Ambilobe,MG,2022-07-28 23:42:25,-13.2,49.05,63.7,87,52,2.82
84,Akdepe,TM,2022-07-28 23:42:26,42.0551,59.3788,80.69,42,17,13.27
85,Berdigestyakh,RU,2022-07-28 23:42:26,62.0989,126.6992,81.32,49,3,6.22
86,Debre Birhan,ET,2022-07-28 23:42:27,9.6833,39.5333,52.88,87,98,2.84
87,Banda Aceh,ID,2022-07-28 23:42:27,5.5577,95.3222,77.67,86,100,11.9
88,Kapuskasing,CA,2022-07-28 23:42:35,49.4169,-82.4331,62.69,82,100,1.14
89,Tiksi,RU,2022-07-28 23:43:28,71.6872,128.8694,51.42,88,95,7.87
90,Tabuk,PH,2022-07-28 23:43:29,17.4189,121.4443,79.59,84,100,1.83
91,Novoorsk,RU,2022-07-28 23:43:29,51.381,58.9813,57.85,83,2,7.38
92,Pevek,RU,2022-07-28 23:43:30,69.7008,170.3133,41.11,75,96,4.5
93,Vaini,TO,2022-07-28 23:43:31,-21.2,-175.2,80.76,83,40,11.5
94,Manokwari,ID,2022-07-28 23:43:31,-0.8667,134.0833,82.38,70,93,3.87
95,Avarua,CK,2022-07-28 23:43:31,-21.2078,-159.775,78.85,73,75,24.16
96,Kavaratti,IN,2022-07-28 23:43:32,10.5669,72.642,81.28,81,100,17.36
97,Fortuna,US,2022-07-28 23:43:33,40.5982,-124.1573,70.93,77,20,13.8
98,Havelock,US,2022-07-28 23:43:33,34.8791,-76.9013,87.78,84,90,10.0
99,Bonavista,CA,2022-07-28 23:43:34,48.6499,-53.1147,53.08,87,83,15.64
100,Thompson,CA,2022-07-28 23:43:34,55.7435,-97.8558,78.96,36,40,2.3
101,Pisco,PE,2022-07-28 23:43:35,-13.7,-76.2167,60.85,82,0,16.11
102,Vila Franca Do Campo,PT,2022-07-28 23:43:35,37.7167,-25.4333,72.01,88,12,3.42
103,Terrace,CA,2022-07-28 23:41:53,54.5163,-128.6035,91.31,23,40,9.22
104,Baran,IN,2022-07-28 23:43:36,25.1,76.5167,79.75,81,100,6.11
105,Visnes,NO,2022-07-28 23:43:37,59.3556,5.2242,55.22,94,10,5.75
106,Mumbwa,ZM,2022-07-28 23:43:38,-14.9783,27.0619,55.2,56,5,4.14
107,Manaus,BR,2022-07-28 23:43:38,-3.1019,-60.025,84.69,65,40,2.3
108,Mogadishu,SO,2022-07-28 23:43:39,2.0371,45.3438,75.78,84,35,16.82
109,Barrow,US,2022-07-28 23:43:39,71.2906,-156.7887,33.82,100,100,16.11
110,Marathon,US,2022-07-28 23:43:40,44.9,-89.7668,72.93,61,75,16.11
111,Luderitz,NA,2022-07-28 23:43:41,-26.6481,15.1594,52.93,87,67,2.77
112,San Antero,CO,2022-07-28 23:43:41,9.3741,-75.7589,77.18,86,100,6.17
113,Pangnirtung,CA,2022-07-28 23:43:42,66.1451,-65.7125,54.3,64,47,4.5
114,Raudeberg,NO,2022-07-28 23:43:42,61.9875,5.1352,54.27,76,67,3.91
115,Port Elizabeth,ZA,2022-07-28 23:43:43,-33.918,25.5701,60.31,79,0,5.75
116,Rock Sound,BS,2022-07-28 23:43:43,24.9,-76.2,81.9,75,4,17.25
117,Playa Vicente,MX,2022-07-28 23:43:44,17.8333,-95.8167,82.29,82,79,1.34
118,Esperance,AU,2022-07-28 23:43:44,-33.8667,121.9,58.64,80,51,14.63
119,Qaanaaq,GL,2022-07-28 23:43:45,77.484,-69.3632,40.5,69,19,3.04
120,Ponta Do Sol,PT,2022-07-28 23:43:45,32.6667,-17.1,74.03,81,1,2.89
121,Cajaruro,PE,2022-07-28 23:43:46,-5.7364,-78.4256,76.82,70,14,3.51
122,Peniche,PT,2022-07-28 23:43:46,39.3558,-9.3811,68.29,89,0,17.38
123,Alugan,PH,2022-07-28 23:43:47,12.2188,125.4808,81.93,84,100,8.25
124,Pagudpud,PH,2022-07-28 23:43:47,18.5616,120.7868,85.23,73,84,0.54
125,Geraldton,AU,2022-07-28 23:43:48,-28.7667,114.6,61.21,88,100,11.5
126,Tarko-Sale,RU,2022-07-28 23:43:48,64.9225,77.785,59.5,79,17,7.18
127,Hofn,IS,2022-07-28 23:43:49,64.2539,-15.2082,51.96,89,100,3.62
128,Bilibino,RU,2022-07-28 23:43:50,68.0546,166.4372,57.76,43,21,11.32
129,Tuktoyaktuk,CA,2022-07-28 23:43:50,69.4541,-133.0374,44.6,87,100,12.66
130,Fort Nelson,CA,2022-07-28 23:43:51,58.8053,-122.7002,74.79,50,40,6.91
131,Lebu,CL,2022-07-28 23:43:51,-37.6167,-73.65,48.94,87,0,16.55
132,Torbay,CA,2022-07-28 23:43:52,47.6666,-52.7314,57.27,93,100,11.99
133,Buraydah,SA,2022-07-28 23:44:53,26.326,43.975,93.65,16,98,2.42
134,Katsuura,JP,2022-07-28 23:44:53,35.1333,140.3,83.62,78,64,9.91
135,Erzincan,TR,2022-07-28 23:44:54,39.75,39.5,61.9,55,0,2.3
136,Whitehorse,CA,2022-07-28 23:44:54,60.7161,-135.0538,62.82,56,75,2.3
137,Denison,US,2022-07-28 23:44:55,33.7557,-96.5367,101.89,34,20,9.22
138,Cidreira,BR,2022-07-28 23:44:55,-30.1811,-50.2056,55.53,94,100,21.0
139,Saskylakh,RU,2022-07-28 23:44:56,71.9167,114.0833,60.91,89,100,4.85
140,Coquimbo,CL,2022-07-28 23:44:56,-29.9533,-71.3436,55.13,94,0,4.61
141,Boyolangu,ID,2022-07-28 23:44:57,-8.1181,111.8935,73.38,90,100,2.19
142,Svirsk,RU,2022-07-28 23:44:57,53.0858,103.3325,60.71,76,47,3.62
143,Koraput,IN,2022-07-28 23:44:58,18.8167,82.7167,71.67,89,71,2.13
144,Egvekinot,RU,2022-07-28 23:44:59,66.3167,-179.1667,42.76,88,100,1.43
145,Vila Velha,BR,2022-07-28 23:44:59,-20.3297,-40.2925,73.35,82,0,8.05
146,Eureka,US,2022-07-28 23:41:06,40.8021,-124.1637,71.2,78,65,5.01
147,Iqaluit,CA,2022-07-28 23:45:01,63.7506,-68.5145,53.33,66,75,3.44
148,Hilo,US,2022-07-28 23:41:10,19.7297,-155.09,86.29,72,20,10.36
149,Zeya,RU,2022-07-28 23:45:02,53.75,127.2667,69.76,92,100,2.95
150,Tournon-Sur-Rhone,FR,2022-07-28 23:45:02,45.0667,4.8333,68.86,63,61,2.73
